cfid,spotdate,nvol
AUD_15Y_1Y_P150,2017-01-03,83.66
AUD_15Y_1Y_P150,2017-01-04,84.99
AUD_15Y_1Y_P150,2017-01-05,85.73
AUD_15Y_1Y_P150,2017-01-06,86.67
AUD_15Y_1Y_P150,2017-01-09,86.88
AUD_15Y_1Y_P150,2017-01-10,86.43
AUD_15Y_1Y_P150,2017-01-11,85.78
AUD_15Y_1Y_P150,2017-01-12,85.96
AUD_15Y_1Y_P150,2017-01-13,85.99
AUD_15Y_1Y_P150,2017-01-16,85.47
AUD_15Y_1Y_P150,2017-01-17,85.67
AUD_15Y_1Y_P150,2017-01-18,85.62
AUD_15Y_1Y_P150,2017-01-19,86.38
AUD_15Y_1Y_P150,2017-01-20,85.99
AUD_15Y_1Y_P25,2017-01-03,77.77
AUD_15Y_1Y_P25,2017-01-04,78.89
AUD_15Y_1Y_P25,2017-01-05,79.59
AUD_15Y_1Y_P25,2017-01-06,80.41
AUD_15Y_1Y_P25,2017-01-09,80.65
AUD_15Y_1Y_P25,2017-01-10,80.15
AUD_15Y_1Y_P25,2017-01-11,79.58
AUD_15Y_1Y_P25,2017-01-12,79.68
AUD_15Y_1Y_P25,2017-01-13,79.69
AUD_15Y_1Y_P25,2017-01-16,79.15
AUD_15Y_1Y_P25,2017-01-17,79.37
AUD_15Y_1Y_P25,2017-01-18,79.3
AUD_15Y_1Y_P25,2017-01-19,80.29
AUD_15Y_1Y_P25,2017-01-20,80.02
AUD_15Y_1Y_P50,2017-01-03,79.02
AUD_15Y_1Y_P50,2017-01-04,80.18
AUD_15Y_1Y_P50,2017-01-05,80.89
AUD_15Y_1Y_P50,2017-01-06,81.73
AUD_15Y_1Y_P50,2017-01-09,81.96
AUD_15Y_1Y_P50,2017-01-10,81.48
AUD_15Y_1Y_P50,2017-01-11,80.9
AUD_15Y_1Y_P50,2017-01-12,81.01
AUD_15Y_1Y_P50,2017-01-13,81.02
AUD_15Y_1Y_P50,2017-01-16,80.48
AUD_15Y_1Y_P50,2017-01-17,80.7
AUD_15Y_1Y_P50,2017-01-18,80.64
AUD_15Y_1Y_P50,2017-01-19,81.57
AUD_15Y_1Y_P50,2017-01-20,81.28
AUD_15Y_20Y_AM,2017-01-03,59.06
AUD_15Y_20Y_AM,2017-01-04,59.09
AUD_15Y_20Y_AM,2017-01-05,59.05
AUD_15Y_20Y_AM,2017-01-06,56.93
AUD_15Y_20Y_AM,2017-01-09,58.94
AUD_15Y_20Y_AM,2017-01-10,59.01
AUD_15Y_20Y_AM,2017-01-11,58.7
AUD_15Y_20Y_AM,2017-01-12,59.2
AUD_15Y_20Y_AM,2017-01-13,59.05
AUD_15Y_20Y_AM,2017-01-16,59.08
AUD_15Y_20Y_AM,2017-01-17,58.86
AUD_15Y_20Y_AM,2017-01-18,58.59
AUD_15Y_20Y_AM,2017-01-19,58.45
AUD_15Y_20Y_AM,2017-01-20,59.57
AUD_15Y_20Y_N100,2017-01-03,54.48
AUD_15Y_20Y_N100,2017-01-04,54.37
AUD_15Y_20Y_N100,2017-01-05,54.36
AUD_15Y_20Y_N100,2017-01-06,52.34
AUD_15Y_20Y_N100,2017-01-09,54.23
AUD_15Y_20Y_N100,2017-01-10,54.24
AUD_15Y_20Y_N100,2017-01-11,53.99
AUD_15Y_20Y_N100,2017-01-12,54.39
AUD_15Y_20Y_N100,2017-01-13,54.27
AUD_15Y_20Y_N100,2017-01-16,54.31
AUD_15Y_20Y_N100,2017-01-17,54.06
AUD_15Y_20Y_N100,2017-01-18,53.81
AUD_15Y_20Y_N100,2017-01-19,53.85
AUD_15Y_20Y_N100,2017-01-20,55.06
AUD_15Y_20Y_N150,2017-01-03,51.84
AUD_15Y_20Y_N150,2017-01-04,51.67
AUD_15Y_20Y_N150,2017-01-05,51.65
AUD_15Y_20Y_N150,2017-01-06,49.69
AUD_15Y_20Y_N150,2017-01-09,51.51
AUD_15Y_20Y_N150,2017-01-10,51.48
AUD_15Y_20Y_N150,2017-01-11,51.27
AUD_15Y_20Y_N150,2017-01-12,51.6
AUD_15Y_20Y_N150,2017-01-13,51.5
AUD_15Y_20Y_N150,2017-01-16,51.55
AUD_15Y_20Y_N150,2017-01-17,51.28
AUD_15Y_20Y_N150,2017-01-18,51.05
AUD_15Y_20Y_N150,2017-01-19,51.19
AUD_15Y_20Y_N150,2017-01-20,52.48
AUD_15Y_20Y_N25,2017-01-03,57.98
AUD_15Y_20Y_N25,2017-01-04,57.98
AUD_15Y_20Y_N25,2017-01-05,57.95
AUD_15Y_20Y_N25,2017-01-06,55.85
AUD_15Y_20Y_N25,2017-01-09,57.83
AUD_15Y_20Y_N25,2017-01-10,57.89
AUD_15Y_20Y_N25,2017-01-11,57.6
AUD_15Y_20Y_N25,2017-01-12,58.08
AUD_15Y_20Y_N25,2017-01-13,57.93
AUD_15Y_20Y_N25,2017-01-16,57.96
AUD_15Y_20Y_N25,2017-01-17,57.74
AUD_15Y_20Y_N25,2017-01-18,57.46
AUD_15Y_20Y_N25,2017-01-19,57.37
AUD_15Y_20Y_N25,2017-01-20,58.51
AUD_15Y_20Y_N50,2017-01-03,56.86
AUD_15Y_20Y_N50,2017-01-04,56.83
AUD_15Y_20Y_N50,2017-01-05,56.8
AUD_15Y_20Y_N50,2017-01-06,54.73
AUD_15Y_20Y_N50,2017-01-09,56.68
AUD_15Y_20Y_N50,2017-01-10,56.73
AUD_15Y_20Y_N50,2017-01-11,56.45
AUD_15Y_20Y_N50,2017-01-12,56.9
AUD_15Y_20Y_N50,2017-01-13,56.77
AUD_15Y_20Y_N50,2017-01-16,56.8
AUD_15Y_20Y_N50,2017-01-17,56.56
AUD_15Y_20Y_N50,2017-01-18,56.3
AUD_15Y_20Y_N50,2017-01-19,56.24
AUD_15Y_20Y_N50,2017-01-20,57.41
AUD_15Y_20Y_P100,2017-01-03,63.04
AUD_15Y_20Y_P100,2017-01-04,63.18
AUD_15Y_20Y_P100,2017-01-05,63.1
AUD_15Y_20Y_P100,2017-01-06,60.88
AUD_15Y_20Y_P100,2017-01-09,63.01
AUD_15Y_20Y_P100,2017-01-10,63.12
AUD_15Y_20Y_P100,2017-01-11,62.77
AUD_15Y_20Y_P100,2017-01-12,63.34
AUD_15Y_20Y_P100,2017-01-13,63.17
AUD_15Y_20Y_P100,2017-01-16,63.19
AUD_15Y_20Y_P100,2017-01-17,63.0
AUD_15Y_20Y_P100,2017-01-18,62.72
AUD_15Y_20Y_P100,2017-01-19,62.43
AUD_15Y_20Y_P100,2017-01-20,63.49
AUD_15Y_20Y_P150,2017-01-03,64.87
AUD_15Y_20Y_P150,2017-01-04,65.06
AUD_15Y_20Y_P150,2017-01-05,64.95
AUD_15Y_20Y_P150,2017-01-06,62.69
AUD_15Y_20Y_P150,2017-01-09,64.87
AUD_15Y_20Y_P150,2017-01-10,65.0
AUD_15Y_20Y_P150,2017-01-11,64.63
AUD_15Y_20Y_P150,2017-01-12,65.23
AUD_15Y_20Y_P150,2017-01-13,65.06
AUD_15Y_20Y_P150,2017-01-16,65.07
AUD_15Y_20Y_P150,2017-01-17,64.89
AUD_15Y_20Y_P150,2017-01-18,64.62
AUD_15Y_20Y_P150,2017-01-19,64.25
AUD_15Y_20Y_P150,2017-01-20,65.29
AUD_15Y_20Y_P25,2017-01-03,60.11
AUD_15Y_20Y_P25,2017-01-04,60.16
AUD_15Y_20Y_P25,2017-01-05,60.11
AUD_15Y_20Y_P25,2017-01-06,57.96
AUD_15Y_20Y_P25,2017-01-09,60.01
AUD_15Y_20Y_P25,2017-01-10,60.09
AUD_15Y_20Y_P25,2017-01-11,59.77
AUD_15Y_20Y_P25,2017-01-12,60.29
AUD_15Y_20Y_P25,2017-01-13,60.14
AUD_15Y_20Y_P25,2017-01-16,60.16
AUD_15Y_20Y_P25,2017-01-17,59.95
AUD_15Y_20Y_P25,2017-01-18,59.67
AUD_15Y_20Y_P25,2017-01-19,59.49
AUD_15Y_20Y_P25,2017-01-20,60.59
AUD_15Y_20Y_P50,2017-01-03,61.11
AUD_15Y_20Y_P50,2017-01-04,61.2
AUD_15Y_20Y_P50,2017-01-05,61.14
AUD_15Y_20Y_P50,2017-01-06,58.97
AUD_15Y_20Y_P50,2017-01-09,61.04
AUD_15Y_20Y_P50,2017-01-10,61.13
AUD_15Y_20Y_P50,2017-01-11,60.8
AUD_15Y_20Y_P50,2017-01-12,61.34
AUD_15Y_20Y_P50,2017-01-13,61.18
AUD_15Y_20Y_P50,2017-01-16,61.2
AUD_15Y_20Y_P50,2017-01-17,60.99
AUD_15Y_20Y_P50,2017-01-18,60.72
AUD_15Y_20Y_P50,2017-01-19,60.5
AUD_15Y_20Y_P50,2017-01-20,61.59
AUD_15Y_2Y_AM,2017-01-03,76.19
AUD_15Y_2Y_AM,2017-01-04,76.78
AUD_15Y_2Y_AM,2017-01-05,77.94
AUD_15Y_2Y_AM,2017-01-06,78.49
AUD_15Y_2Y_AM,2017-01-09,78.73
AUD_15Y_2Y_AM,2017-01-10,78.11
AUD_15Y_2Y_AM,2017-01-11,77.56
AUD_15Y_2Y_AM,2017-01-12,77.56
AUD_15Y_2Y_AM,2017-01-13,77.31
AUD_15Y_2Y_AM,2017-01-16,77.1
AUD_15Y_2Y_AM,2017-01-17,77.78
AUD_15Y_2Y_AM,2017-01-18,77.47
AUD_15Y_2Y_AM,2017-01-19,77.13
AUD_15Y_2Y_AM,2017-01-20,77.9
AUD_15Y_2Y_N100,2017-01-03,70.57
AUD_15Y_2Y_N100,2017-01-04,70.94
AUD_15Y_2Y_N100,2017-01-05,72.05
AUD_15Y_2Y_N100,2017-01-06,72.5
AUD_15Y_2Y_N100,2017-01-09,72.79
AUD_15Y_2Y_N100,2017-01-10,72.11
AUD_15Y_2Y_N100,2017-01-11,71.64
AUD_15Y_2Y_N100,2017-01-12,71.53
AUD_15Y_2Y_N100,2017-01-13,71.28
AUD_15Y_2Y_N100,2017-01-16,71.06
AUD_15Y_2Y_N100,2017-01-17,71.74
AUD_15Y_2Y_N100,2017-01-18,71.46
AUD_15Y_2Y_N100,2017-01-19,71.34
AUD_15Y_2Y_N100,2017-01-20,72.27
AUD_15Y_2Y_N150,2017-01-03,67.37
AUD_15Y_2Y_N150,2017-01-04,67.62
AUD_15Y_2Y_N150,2017-01-05,68.67
AUD_15Y_2Y_N150,2017-01-06,69.08
AUD_15Y_2Y_N150,2017-01-09,69.4
AUD_15Y_2Y_N150,2017-01-10,68.67
AUD_15Y_2Y_N150,2017-01-11,68.25
AUD_15Y_2Y_N150,2017-01-12,68.07
AUD_15Y_2Y_N150,2017-01-13,67.82
AUD_15Y_2Y_N150,2017-01-16,67.6
AUD_15Y_2Y_N150,2017-01-17,68.28
AUD_15Y_2Y_N150,2017-01-18,68.02
AUD_15Y_2Y_N150,2017-01-19,68.04
AUD_15Y_2Y_N150,2017-01-20,69.08
AUD_15Y_2Y_N25,2017-01-03,74.87
AUD_15Y_2Y_N25,2017-01-04,75.4
AUD_15Y_2Y_N25,2017-01-05,76.55
AUD_15Y_2Y_N25,2017-01-06,77.08
AUD_15Y_2Y_N25,2017-01-09,77.33
AUD_15Y_2Y_N25,2017-01-10,76.7
AUD_15Y_2Y_N25,2017-01-11,76.16
AUD_15Y_2Y_N25,2017-01-12,76.14
AUD_15Y_2Y_N25,2017-01-13,75.89
AUD_15Y_2Y_N25,2017-01-16,75.68
AUD_15Y_2Y_N25,2017-01-17,76.36
AUD_15Y_2Y_N25,2017-01-18,76.05
AUD_15Y_2Y_N25,2017-01-19,75.76
AUD_15Y_2Y_N25,2017-01-20,76.57
AUD_15Y_2Y_N50,2017-01-03,73.49
AUD_15Y_2Y_N50,2017-01-04,73.97
AUD_15Y_2Y_N50,2017-01-05,75.11
AUD_15Y_2Y_N50,2017-01-06,75.62
AUD_15Y_2Y_N50,2017-01-09,75.88
AUD_15Y_2Y_N50,2017-01-10,75.23
AUD_15Y_2Y_N50,2017-01-11,74.72
AUD_15Y_2Y_N50,2017-01-12,74.67
AUD_15Y_2Y_N50,2017-01-13,74.42
AUD_15Y_2Y_N50,2017-01-16,74.2
AUD_15Y_2Y_N50,2017-01-17,74.88
AUD_15Y_2Y_N50,2017-01-18,74.59
AUD_15Y_2Y_N50,2017-01-19,74.35
AUD_15Y_2Y_N50,2017-01-20,75.19
AUD_15Y_2Y_P100,2017-01-03,81.1
AUD_15Y_2Y_P100,2017-01-04,81.87
AUD_15Y_2Y_P100,2017-01-05,83.07
AUD_15Y_2Y_P100,2017-01-06,83.69
AUD_15Y_2Y_P100,2017-01-09,83.9
AUD_15Y_2Y_P100,2017-01-10,83.33
AUD_15Y_2Y_P100,2017-01-11,82.7
AUD_15Y_2Y_P100,2017-01-12,82.77
AUD_15Y_2Y_P100,2017-01-13,82.53
AUD_15Y_2Y_P100,2017-01-16,82.35
AUD_15Y_2Y_P100,2017-01-17,83.02
AUD_15Y_2Y_P100,2017-01-18,82.7
AUD_15Y_2Y_P100,2017-01-19,82.16
AUD_15Y_2Y_P100,2017-01-20,82.82
AUD_15Y_2Y_P150,2017-01-03,83.36
AUD_15Y_2Y_P150,2017-01-04,84.21
AUD_15Y_2Y_P150,2017-01-05,85.43
AUD_15Y_2Y_P150,2017-01-06,86.08
AUD_15Y_2Y_P150,2017-01-09,86.28
AUD_15Y_2Y_P150,2017-01-10,85.72
AUD_15Y_2Y_P150,2017-01-11,85.06
AUD_15Y_2Y_P150,2017-01-12,85.17
AUD_15Y_2Y_P150,2017-01-13,84.92
AUD_15Y_2Y_P150,2017-01-16,84.77
AUD_15Y_2Y_P150,2017-01-17,85.42
AUD_15Y_2Y_P150,2017-01-18,85.11
AUD_15Y_2Y_P150,2017-01-19,84.47
AUD_15Y_2Y_P150,2017-01-20,85.09
AUD_15Y_2Y_P25,2017-01-03,77.48
AUD_15Y_2Y_P25,2017-01-04,78.11
AUD_15Y_2Y_P25,2017-01-05,79.29
AUD_15Y_2Y_P25,2017-01-06,79.85
AUD_15Y_2Y_P25,2017-01-09,80.08
AUD_15Y_2Y_P25,2017-01-10,79.48
AUD_15Y_2Y_P25,2017-01-11,78.9
AUD_15Y_2Y_P25,2017-01-12,78.92
AUD_15Y_2Y_P25,2017-01-13,78.68
AUD_15Y_2Y_P25,2017-01-16,78.48
AUD_15Y_2Y_P25,2017-01-17,79.15
AUD_15Y_2Y_P25,2017-01-18,78.84
AUD_15Y_2Y_P25,2017-01-19,78.44
AUD_15Y_2Y_P25,2017-01-20,79.19
AUD_15Y_2Y_P50,2017-01-03,78.72
AUD_15Y_2Y_P50,2017-01-04,79.4
AUD_15Y_2Y_P50,2017-01-05,80.59
AUD_15Y_2Y_P50,2017-01-06,81.17
AUD_15Y_2Y_P50,2017-01-09,81.39
AUD_15Y_2Y_P50,2017-01-10,80.8
AUD_15Y_2Y_P50,2017-01-11,80.21
AUD_15Y_2Y_P50,2017-01-12,80.25
AUD_15Y_2Y_P50,2017-01-13,80.0
AUD_15Y_2Y_P50,2017-01-16,79.81
AUD_15Y_2Y_P50,2017-01-17,80.48
AUD_15Y_2Y_P50,2017-01-18,80.17
AUD_15Y_2Y_P50,2017-01-19,79.72
AUD_15Y_2Y_P50,2017-01-20,80.43
AUD_15Y_3Y_AM,2017-01-03,75.59
AUD_15Y_3Y_AM,2017-01-04,75.81
AUD_15Y_3Y_AM,2017-01-05,77.69
AUD_15Y_3Y_AM,2017-01-06,77.96
AUD_15Y_3Y_AM,2017-01-09,78.18
AUD_15Y_3Y_AM,2017-01-10,77.17
AUD_15Y_3Y_AM,2017-01-11,76.6
AUD_15Y_3Y_AM,2017-01-12,76.87
AUD_15Y_3Y_AM,2017-01-13,76.74
AUD_15Y_3Y_AM,2017-01-16,76.52
AUD_15Y_3Y_AM,2017-01-17,77.52
AUD_15Y_3Y_AM,2017-01-18,76.95
AUD_15Y_3Y_AM,2017-01-19,75.56
AUD_15Y_3Y_AM,2017-01-20,77.42
AUD_15Y_3Y_N100,2017-01-03,69.99
AUD_15Y_3Y_N100,2017-01-04,70.0
AUD_15Y_3Y_N100,2017-01-05,71.79
AUD_15Y_3Y_N100,2017-01-06,72.0
AUD_15Y_3Y_N100,2017-01-09,72.26
AUD_15Y_3Y_N100,2017-01-10,71.21
AUD_15Y_3Y_N100,2017-01-11,70.74
AUD_15Y_3Y_N100,2017-01-12,70.87
AUD_15Y_3Y_N100,2017-01-13,70.74
AUD_15Y_3Y_N100,2017-01-16,70.51
AUD_15Y_3Y_N100,2017-01-17,71.51
AUD_15Y_3Y_N100,2017-01-18,71.0
AUD_15Y_3Y_N100,2017-01-19,69.83
AUD_15Y_3Y_N100,2017-01-20,71.82
AUD_15Y_3Y_N150,2017-01-03,66.81
AUD_15Y_3Y_N150,2017-01-04,66.68
AUD_15Y_3Y_N150,2017-01-05,68.41
AUD_15Y_3Y_N150,2017-01-06,68.58
AUD_15Y_3Y_N150,2017-01-09,68.88
AUD_15Y_3Y_N150,2017-01-10,67.8
AUD_15Y_3Y_N150,2017-01-11,67.38
AUD_15Y_3Y_N150,2017-01-12,67.42
AUD_15Y_3Y_N150,2017-01-13,67.29
AUD_15Y_3Y_N150,2017-01-16,67.06
AUD_15Y_3Y_N150,2017-01-17,68.06
AUD_15Y_3Y_N150,2017-01-18,67.59
AUD_15Y_3Y_N150,2017-01-19,66.55
AUD_15Y_3Y_N150,2017-01-20,68.64
AUD_15Y_3Y_N25,2017-01-03,74.27
AUD_15Y_3Y_N25,2017-01-04,74.44
AUD_15Y_3Y_N25,2017-01-05,76.3
AUD_15Y_3Y_N25,2017-01-06,76.55
AUD_15Y_3Y_N25,2017-01-09,76.78
AUD_15Y_3Y_N25,2017-01-10,75.76
AUD_15Y_3Y_N25,2017-01-11,75.22
AUD_15Y_3Y_N25,2017-01-12,75.46
AUD_15Y_3Y_N25,2017-01-13,75.33
AUD_15Y_3Y_N25,2017-01-16,75.11
AUD_15Y_3Y_N25,2017-01-17,76.1
AUD_15Y_3Y_N25,2017-01-18,75.55
AUD_15Y_3Y_N25,2017-01-19,74.21
AUD_15Y_3Y_N25,2017-01-20,76.1
AUD_15Y_3Y_N50,2017-01-03,72.9
AUD_15Y_3Y_N50,2017-01-04,73.02
AUD_15Y_3Y_N50,2017-01-05,74.86
AUD_15Y_3Y_N50,2017-01-06,75.1
AUD_15Y_3Y_N50,2017-01-09,75.34
AUD_15Y_3Y_N50,2017-01-10,74.31
AUD_15Y_3Y_N50,2017-01-11,73.79
AUD_15Y_3Y_N50,2017-01-12,73.99
AUD_15Y_3Y_N50,2017-01-13,73.86
AUD_15Y_3Y_N50,2017-01-16,73.64
AUD_15Y_3Y_N50,2017-01-17,74.63
AUD_15Y_3Y_N50,2017-01-18,74.09
AUD_15Y_3Y_N50,2017-01-19,72.81
AUD_15Y_3Y_N50,2017-01-20,74.73
AUD_15Y_3Y_P100,2017-01-03,80.48
AUD_15Y_3Y_P100,2017-01-04,80.87
AUD_15Y_3Y_P100,2017-01-05,82.82
AUD_15Y_3Y_P100,2017-01-06,83.13
AUD_15Y_3Y_P100,2017-01-09,83.32
AUD_15Y_3Y_P100,2017-01-10,82.33
AUD_15Y_3Y_P100,2017-01-11,81.7
AUD_15Y_3Y_P100,2017-01-12,82.06
AUD_15Y_3Y_P100,2017-01-13,81.93
AUD_15Y_3Y_P100,2017-01-16,81.75
AUD_15Y_3Y_P100,2017-01-17,82.73
AUD_15Y_3Y_P100,2017-01-18,82.13
AUD_15Y_3Y_P100,2017-01-19,80.54
AUD_15Y_3Y_P100,2017-01-20,82.32
AUD_15Y_3Y_P150,2017-01-03,82.73
AUD_15Y_3Y_P150,2017-01-04,83.2
AUD_15Y_3Y_P150,2017-01-05,85.17
AUD_15Y_3Y_P150,2017-01-06,85.51
AUD_15Y_3Y_P150,2017-01-09,85.69
AUD_15Y_3Y_P150,2017-01-10,84.7
AUD_15Y_3Y_P150,2017-01-11,84.04
AUD_15Y_3Y_P150,2017-01-12,84.44
AUD_15Y_3Y_P150,2017-01-13,84.32
AUD_15Y_3Y_P150,2017-01-16,84.15
AUD_15Y_3Y_P150,2017-01-17,85.12
AUD_15Y_3Y_P150,2017-01-18,84.52
AUD_15Y_3Y_P150,2017-01-19,82.83
AUD_15Y_3Y_P150,2017-01-20,84.58
AUD_15Y_3Y_P25,2017-01-03,76.87
AUD_15Y_3Y_P25,2017-01-04,77.13
AUD_15Y_3Y_P25,2017-01-05,79.03
AUD_15Y_3Y_P25,2017-01-06,79.31
AUD_15Y_3Y_P25,2017-01-09,79.52
AUD_15Y_3Y_P25,2017-01-10,78.52
AUD_15Y_3Y_P25,2017-01-11,77.93
AUD_15Y_3Y_P25,2017-01-12,78.23
AUD_15Y_3Y_P25,2017-01-13,78.1
AUD_15Y_3Y_P25,2017-01-16,77.89
AUD_15Y_3Y_P25,2017-01-17,78.88
AUD_15Y_3Y_P25,2017-01-18,78.31
AUD_15Y_3Y_P25,2017-01-19,76.86
AUD_15Y_3Y_P25,2017-01-20,78.7
AUD_15Y_3Y_P50,2017-01-03,78.11
AUD_15Y_3Y_P50,2017-01-04,78.41
AUD_15Y_3Y_P50,2017-01-05,80.33
AUD_15Y_3Y_P50,2017-01-06,80.62
AUD_15Y_3Y_P50,2017-01-09,80.83
AUD_15Y_3Y_P50,2017-01-10,79.83
AUD_15Y_3Y_P50,2017-01-11,79.22
AUD_15Y_3Y_P50,2017-01-12,79.54
AUD_15Y_3Y_P50,2017-01-13,79.42
AUD_15Y_3Y_P50,2017-01-16,79.22
AUD_15Y_3Y_P50,2017-01-17,80.2
AUD_15Y_3Y_P50,2017-01-18,79.62
AUD_15Y_3Y_P50,2017-01-19,78.12
AUD_15Y_3Y_P50,2017-01-20,79.94
AUD_15Y_4Y_AM,2017-01-03,73.99
AUD_15Y_4Y_AM,2017-01-04,73.29
AUD_15Y_4Y_AM,2017-01-05,75.1
AUD_15Y_4Y_AM,2017-01-06,75.06
AUD_15Y_4Y_AM,2017-01-09,75.58
AUD_15Y_4Y_AM,2017-01-10,74.59
AUD_15Y_4Y_AM,2017-01-11,74.01
AUD_15Y_4Y_AM,2017-01-12,73.92
AUD_15Y_4Y_AM,2017-01-13,73.95
AUD_15Y_4Y_AM,2017-01-16,74.05
AUD_15Y_4Y_AM,2017-01-17,75.18
AUD_15Y_4Y_AM,2017-01-18,74.3
AUD_15Y_4Y_AM,2017-01-19,72.56
AUD_15Y_4Y_AM,2017-01-20,74.78
AUD_15Y_4Y_N100,2017-01-03,68.51
AUD_15Y_4Y_N100,2017-01-04,67.65
AUD_15Y_4Y_N100,2017-01-05,69.4
AUD_15Y_4Y_N100,2017-01-06,69.33
AUD_15Y_4Y_N100,2017-01-09,69.86
AUD_15Y_4Y_N100,2017-01-10,68.84
AUD_15Y_4Y_N100,2017-01-11,68.34
AUD_15Y_4Y_N100,2017-01-12,68.15
AUD_15Y_4Y_N100,2017-01-13,68.18
AUD_15Y_4Y_N100,2017-01-16,68.23
AUD_15Y_4Y_N100,2017-01-17,69.37
AUD_15Y_4Y_N100,2017-01-18,68.57
AUD_15Y_4Y_N100,2017-01-19,67.03
AUD_15Y_4Y_N100,2017-01-20,69.37
AUD_15Y_4Y_N150,2017-01-03,65.38
AUD_15Y_4Y_N150,2017-01-04,64.43
AUD_15Y_4Y_N150,2017-01-05,66.13
AUD_15Y_4Y_N150,2017-01-06,66.04
AUD_15Y_4Y_N150,2017-01-09,66.6
AUD_15Y_4Y_N150,2017-01-10,65.54
AUD_15Y_4Y_N150,2017-01-11,65.09
AUD_15Y_4Y_N150,2017-01-12,64.83
AUD_15Y_4Y_N150,2017-01-13,64.86
AUD_15Y_4Y_N150,2017-01-16,64.89
AUD_15Y_4Y_N150,2017-01-17,66.03
AUD_15Y_4Y_N150,2017-01-18,65.3
AUD_15Y_4Y_N150,2017-01-19,63.85
AUD_15Y_4Y_N150,2017-01-20,66.3
AUD_15Y_4Y_N25,2017-01-03,72.7
AUD_15Y_4Y_N25,2017-01-04,71.96
AUD_15Y_4Y_N25,2017-01-05,73.76
AUD_15Y_4Y_N25,2017-01-06,73.71
AUD_15Y_4Y_N25,2017-01-09,74.24
AUD_15Y_4Y_N25,2017-01-10,73.24
AUD_15Y_4Y_N25,2017-01-11,72.67
AUD_15Y_4Y_N25,2017-01-12,72.57
AUD_15Y_4Y_N25,2017-01-13,72.6
AUD_15Y_4Y_N25,2017-01-16,72.68
AUD_15Y_4Y_N25,2017-01-17,73.81
AUD_15Y_4Y_N25,2017-01-18,72.95
AUD_15Y_4Y_N25,2017-01-19,71.26
AUD_15Y_4Y_N25,2017-01-20,73.5
AUD_15Y_4Y_N50,2017-01-03,71.35
AUD_15Y_4Y_N50,2017-01-04,70.58
AUD_15Y_4Y_N50,2017-01-05,72.36
AUD_15Y_4Y_N50,2017-01-06,72.31
AUD_15Y_4Y_N50,2017-01-09,72.84
AUD_15Y_4Y_N50,2017-01-10,71.83
AUD_15Y_4Y_N50,2017-01-11,71.29
AUD_15Y_4Y_N50,2017-01-12,71.16
AUD_15Y_4Y_N50,2017-01-13,71.19
AUD_15Y_4Y_N50,2017-01-16,71.25
AUD_15Y_4Y_N50,2017-01-17,72.39
AUD_15Y_4Y_N50,2017-01-18,71.55
AUD_15Y_4Y_N50,2017-01-19,69.91
AUD_15Y_4Y_N50,2017-01-20,72.18
AUD_15Y_4Y_P100,2017-01-03,78.78
AUD_15Y_4Y_P100,2017-01-04,78.21
AUD_15Y_4Y_P100,2017-01-05,80.06
AUD_15Y_4Y_P100,2017-01-06,80.05
AUD_15Y_4Y_P100,2017-01-09,80.56
AUD_15Y_4Y_P100,2017-01-10,79.59
AUD_15Y_4Y_P100,2017-01-11,78.93
AUD_15Y_4Y_P100,2017-01-12,78.92
AUD_15Y_4Y_P100,2017-01-13,78.95
AUD_15Y_4Y_P100,2017-01-16,79.11
AUD_15Y_4Y_P100,2017-01-17,80.22
AUD_15Y_4Y_P100,2017-01-18,79.29
AUD_15Y_4Y_P100,2017-01-19,77.37
AUD_15Y_4Y_P100,2017-01-20,79.5
AUD_15Y_4Y_P150,2017-01-03,80.98
AUD_15Y_4Y_P150,2017-01-04,80.47
AUD_15Y_4Y_P150,2017-01-05,82.33
AUD_15Y_4Y_P150,2017-01-06,82.33
AUD_15Y_4Y_P150,2017-01-09,82.85
AUD_15Y_4Y_P150,2017-01-10,81.88
AUD_15Y_4Y_P150,2017-01-11,81.19
AUD_15Y_4Y_P150,2017-01-12,81.21
AUD_15Y_4Y_P150,2017-01-13,81.25
AUD_15Y_4Y_P150,2017-01-16,81.43
AUD_15Y_4Y_P150,2017-01-17,82.54
AUD_15Y_4Y_P150,2017-01-18,81.59
AUD_15Y_4Y_P150,2017-01-19,79.58
AUD_15Y_4Y_P150,2017-01-20,81.68
AUD_15Y_4Y_P25,2017-01-03,75.24
AUD_15Y_4Y_P25,2017-01-04,74.58
AUD_15Y_4Y_P25,2017-01-05,76.4
AUD_15Y_4Y_P25,2017-01-06,76.37
AUD_15Y_4Y_P25,2017-01-09,76.89
AUD_15Y_4Y_P25,2017-01-10,75.9
AUD_15Y_4Y_P25,2017-01-11,75.29
AUD_15Y_4Y_P25,2017-01-12,75.23
AUD_15Y_4Y_P25,2017-01-13,75.26
AUD_15Y_4Y_P25,2017-01-16,75.37
AUD_15Y_4Y_P25,2017-01-17,76.5
AUD_15Y_4Y_P25,2017-01-18,75.6
AUD_15Y_4Y_P25,2017-01-19,73.82
AUD_15Y_4Y_P25,2017-01-20,76.01
AUD_15Y_4Y_P50,2017-01-03,76.46
AUD_15Y_4Y_P50,2017-01-04,75.83
AUD_15Y_4Y_P50,2017-01-05,77.65
AUD_15Y_4Y_P50,2017-01-06,77.63
AUD_15Y_4Y_P50,2017-01-09,78.15
