cfid,spotdate,nvol
AUD_10Y_10Y_P25,2017-01-16,72.03
AUD_10Y_10Y_P25,2017-01-17,72.32
AUD_10Y_10Y_P25,2017-01-18,72.35
AUD_10Y_10Y_P25,2017-01-19,72.37
AUD_10Y_10Y_P25,2017-01-20,72.03
AUD_10Y_10Y_P50,2017-01-03,73.06
AUD_10Y_10Y_P50,2017-01-04,73.2
AUD_10Y_10Y_P50,2017-01-05,73.34
AUD_10Y_10Y_P50,2017-01-06,73.2
AUD_10Y_10Y_P50,2017-01-09,73.65
AUD_10Y_10Y_P50,2017-01-10,73.26
AUD_10Y_10Y_P50,2017-01-11,72.94
AUD_10Y_10Y_P50,2017-01-12,73.05
AUD_10Y_10Y_P50,2017-01-13,73.16
AUD_10Y_10Y_P50,2017-01-16,73.21
AUD_10Y_10Y_P50,2017-01-17,73.52
AUD_10Y_10Y_P50,2017-01-18,73.53
AUD_10Y_10Y_P50,2017-01-19,73.52
AUD_10Y_10Y_P50,2017-01-20,73.15
AUD_10Y_15Y_AM,2017-01-03,66.92
AUD_10Y_15Y_AM,2017-01-04,66.71
AUD_10Y_15Y_AM,2017-01-05,67.2
AUD_10Y_15Y_AM,2017-01-06,67.09
AUD_10Y_15Y_AM,2017-01-09,67.16
AUD_10Y_15Y_AM,2017-01-10,67.13
AUD_10Y_15Y_AM,2017-01-11,66.82
AUD_10Y_15Y_AM,2017-01-12,67.01
AUD_10Y_15Y_AM,2017-01-13,67.09
AUD_10Y_15Y_AM,2017-01-16,67.12
AUD_10Y_15Y_AM,2017-01-17,67.05
AUD_10Y_15Y_AM,2017-01-18,66.97
AUD_10Y_15Y_AM,2017-01-19,67.28
AUD_10Y_15Y_AM,2017-01-20,66.94
AUD_10Y_15Y_N100,2017-01-03,62.03
AUD_10Y_15Y_N100,2017-01-04,61.75
AUD_10Y_15Y_N100,2017-01-05,62.16
AUD_10Y_15Y_N100,2017-01-06,61.96
AUD_10Y_15Y_N100,2017-01-09,62.09
AUD_10Y_15Y_N100,2017-01-10,62.03
AUD_10Y_15Y_N100,2017-01-11,61.78
AUD_10Y_15Y_N100,2017-01-12,61.82
AUD_10Y_15Y_N100,2017-01-13,61.95
AUD_10Y_15Y_N100,2017-01-16,62.02
AUD_10Y_15Y_N100,2017-01-17,61.88
AUD_10Y_15Y_N100,2017-01-18,61.9
AUD_10Y_15Y_N100,2017-01-19,62.33
AUD_10Y_15Y_N100,2017-01-20,62.11
AUD_10Y_15Y_N150,2017-01-03,59.24
AUD_10Y_15Y_N150,2017-01-04,58.92
AUD_10Y_15Y_N150,2017-01-05,59.28
AUD_10Y_15Y_N150,2017-01-06,59.01
AUD_10Y_15Y_N150,2017-01-09,59.19
AUD_10Y_15Y_N150,2017-01-10,59.11
AUD_10Y_15Y_N150,2017-01-11,58.89
AUD_10Y_15Y_N150,2017-01-12,58.83
AUD_10Y_15Y_N150,2017-01-13,59.01
AUD_10Y_15Y_N150,2017-01-16,59.09
AUD_10Y_15Y_N150,2017-01-17,58.92
AUD_10Y_15Y_N150,2017-01-18,58.99
AUD_10Y_15Y_N150,2017-01-19,59.51
AUD_10Y_15Y_N150,2017-01-20,59.36
AUD_10Y_15Y_N25,2017-01-03,65.77
AUD_10Y_15Y_N25,2017-01-04,65.54
AUD_10Y_15Y_N25,2017-01-05,66.02
AUD_10Y_15Y_N25,2017-01-06,65.88
AUD_10Y_15Y_N25,2017-01-09,65.97
AUD_10Y_15Y_N25,2017-01-10,65.93
